Date,Time,Station,Species,Number,Location,Age,Sex,RDC,Low,Shot bird?,Remark,Coordinators,Counters,Wdir,WSp,Vis,Rain?,CLCO,CLMO,CLHe
2011-08-27,08:52:00,3,HBad,13,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,08:59:00,3,HB,449,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:03:00,3,HB,40,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:06:00,3,HB,4,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:15:00,3,HBad,42,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:16:00,3,HB,645,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:20:00,3,HB,51,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:20:00,3,HBad,27,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:24:00,3,HB,128,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:24:00,3,HB,9,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:25:00,3,HBad,29,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:25:00,3,HB,21,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:30:00,3,HB,3,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:30:00,3,HB,2,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:30:00,3,HB,1,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:31:00,3,HB,15,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:32:00,3,Mar,2,O,No Value,FC,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:33:00,3,HB,147,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:34:00,3,HB,8,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:38:00,3,HB,95,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:41:00,3,HB,42,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:42:00,3,HB,18,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:44:00,3,HB,30,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:46:00,3,HB,57,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:51:00,3,HB,66,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:51:00,3,HB,4,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,09:57:00,3,HB,33,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:03:00,3,HB,41,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:06:00,3,HB,6,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:07:00,3,HB,14,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:12:00,3,HB,15,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:14:00,3,HB,4,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:20:00,3,HB,3,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:23:00,3,HB,44,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:31:00,3,HB,53,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:32:00,3,HB,97,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:34:00,3,HB,66,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:35:00,3,HB,51,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,10:36:00,3,HB,41,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,11:06:00,3,HB,174,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,11:20:00,3,HB,21,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,11:31:00,3,HB,1,O,Ad,M,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,11:35:00,3,HB,1,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,11:54:00,3,HB,1,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,12:04:00,3,HB,25,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,12:21:00,3,HB,1,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,12:21:00,3,BEL,1,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,12:51:00,3,HB,1,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,13:43:00,3,HB,140,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,13:47:00,3,HB,2,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,13:51:00,3,HB,1,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:04:00,3,HB,49,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:07:00,3,HB,87,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:08:00,3,HBad,11,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:16:00,3,HB,155,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:18:00,3,HB,84,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:26:00,3,HB,301,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:30:00,3,HB,54,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:39:00,3,HB,52,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:49:00,3,HB,119,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:49:00,3,HB,268,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:51:00,3,HB,3,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:52:00,3,HB,142,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:58:00,3,HB,2,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,14:59:00,3,HB,557,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:03:00,3,HB,173,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:04:00,3,HB,17,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:06:00,3,HB,61,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:14:00,3,HB,9,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:26:00,3,HB,451,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:34:00,3,HB,960,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:34:00,3,HB,360,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:41:00,3,HB,1815,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:52:00,3,Mar,1,E1,No Value,FC,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:56:00,3,HB,3160,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:58:00,3,Mar,2,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:59:00,3,BK,1,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,15:59:00,3,No Value,1,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:00:00,3,BK,1,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:00:00,3,BK,1,No Value,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:01:00,3,BK,1,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:04:00,3,HB,75,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:08:00,3,BK,1,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:09:00,3,BK,1,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:12:00,3,BEL,1,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:13:00,3,HB,960,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:13:00,3,BK,1,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:16:00,3,HB,100,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:17:00,3,BK,1,No Value,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:27:00,3,MonPalHen,2,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:27:00,3,Mon,1,E2,Non-juv,M,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:29:00,3,HB,3690,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:31:00,3,MonPalHen,1,E2,Juv,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:33:00,3,HB,810,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:39:00,3,HB,710,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:40:00,3,HB,98,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:44:00,3,HB,25,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:54:00,3,HB,1000,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,16:54:00,3,HB,420,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:01:00,3,BK,1,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:01:00,3,HB,780,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:02:00,3,HB,250,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:06:00,3,HB,12,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:09:00,3,HB,15,E3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:10:00,3,HB,1440,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:16:00,3,HB,5,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:17:00,3,BK,1,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:19:00,3,HB,250,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:20:00,3,HB,1280,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:21:00,3,HB,144,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:28:00,3,HB,120,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:29:00,3,HB,730,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:40:00,3,HB,1330,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:44:00,3,HB,30,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:45:00,3,HB,740,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:45:00,3,HB,1730,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-27,17:45:00,3,end,1,No Value,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:06:00,3,start,1,No Value,No Value,No Value,0,0,0,,1,2,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:24:00,3,HB,1,W1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:32:00,3,HB,4,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:39:00,3,HB,105,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:42:00,3,HB,2,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:47:00,3,HB,44,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:47:00,3,HB,3,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:55:00,3,HB,3,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,07:56:00,3,HB,82,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:00:00,3,HB,115,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:01:00,3,HB,221,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:06:00,3,HB,36,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:07:00,3,HB,94,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:10:00,3,HB,264,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:11:00,3,BK,1,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:13:00,3,HB,270,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:13:00,3,HB,646,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:14:00,3,HB,191,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:15:00,3,HB,204,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:16:00,3,HB,13,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:18:00,3,HB,476,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:18:00,3,HB,62,E1,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:20:00,3,HB,398,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:22:00,3,HB,425,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:22:00,3,HB,115,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:26:00,3,HB,442,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:27:00,3,HB,720,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:27:00,3,HB,462,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:29:00,3,HB,203,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:30:00,3,BK,1,W3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:31:00,3,HB,325,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:36:00,3,BK,1,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:36:00,3,HB,400,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:36:00,3,HB,331,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:37:00,3,HB,364,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:38:00,3,HB,275,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:40:00,3,HB,132,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:41:00,3,HB,345,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:47:00,3,HB,742,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:49:00,3,HB,170,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:49:00,3,HB,31,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:51:00,3,HB,980,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:51:00,3,HB,62,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:57:00,3,HB,161,E3,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:57:00,3,HB,1390,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,08:58:00,3,HB,200,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:02:00,3,HB,258,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:03:00,3,HB,542,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:03:00,3,HB,1100,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:12:00,3,HB,1240,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:12:00,3,HB,252,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:17:00,3,HB,810,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:18:00,3,HB,362,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:20:00,3,HB,32,E2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:25:00,3,HB,1870,O,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
2011-08-28,09:25:00,3,HB,178,W2,No Value,No Value,0,0,0,,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
